"","X","WS12.2","WS14.2","WS17.2","WS18.2","WS2.2","WS21.2","WS23.2","WS24.2","WS27.2","WS32.2","WS33.2","WS34.2","WS36.2","WS37.2","WS38.2","WS39.2","WS4.2","WS40.2","WS42.2","WS43.2","WS47.2","WS5.2","WS6.2","WS8.2","WS9.2","Ensembl"
"ENSG00000182004 - SNRPE","SNRPE",390.617,457.999,94.609,318.843,400.045,878.455,298,234.634,348.656,364,331.001,1220.338,779.841,117.851,1013.629,1651.922,442.803,647.054,664.999,325.629,216.738,444.854,550.625,3175.488,289,"ENSG00000182004"
"ENSG00000182010 - RTKN2","RTKN2",28,53.034,3,22,27.042,40,17,6,37.013,22.008,25,116.022,37,4,180,179.001,23.035,46,46.001,27,7,20.012,33,236,27,"ENSG00000182010"
"ENSG00000182013 - PNMA8A","PNMA8A",7,2,0,3,2,7,0,1,5,1,3,6,0,0,5,4,0,0,2,0,2,0,3,0,0,"ENSG00000182013"
"ENSG00000182022 - CHST15","CHST15",101,58,3,19,6,79,11,30,81,41,27,48,4,1,23,21,5,61,7,32,32,31,3,10,6,"ENSG00000182022"
"ENSG00000182035 - ADIG","ADIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182035"
"ENSG00000182040 - USH1G","USH1G",18,8,4,12,17,4,8,15,5,4,15,9,0,3,5,17,6,6,6,7,1,5,4,18,2,"ENSG00000182040"
"ENSG00000182048 - TRPC2","TRPC2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"ENSG00000182048"
"ENSG00000182050 - MGAT4C","MGAT4C",0.05,0.045,0,0,0.047,0.047,0.059,0,0.061,0.05,0.045,0,0.059,0,2,0.047,0.002,0,0.05,0.059,0.05,0.059,0,0.063,0,"ENSG00000182050"
"ENSG00000182053 - TRIM49B","TRIM49B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182053"
"ENSG00000182054 - IDH2","IDH2",1266,2146.001,310.999,1134,1545,3389,1396,806,1268.054,1455,1700,6238.999,2371,348,5290,7196.999,1111,3183,3740.943,1287,712.999,1242,2255.001,16323,1252,"ENSG00000182054"
"ENSG00000182070 - OR52A1","OR52A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182070"
"ENSG00000182077 - PTCHD3","PTCHD3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"ENSG00000182077"
"ENSG00000182083 - OR6B2","OR6B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182083"
"ENSG00000182087 - TMEM259","TMEM259",3123.999,2596,710.001,1762.001,3853.001,3037.001,2020,1736,1481.001,1595,2935,3616,2370.001,1307.001,3315,4300,2594,2795.998,3569.999,1751,1929.999,3392,2452,8542.002,1616.001,"ENSG00000182087"
"ENSG00000182093 - GET1","GET1",275,195.001,49.771,67.001,232,251.17,86.569,73.206,94.912,72,215,230.001,83.999,75.16,281.22,326.606,171,145.982,172,69,134.591,272,135.001,456.001,114,"ENSG00000182093"
"ENSG00000182095 - TNRC18","TNRC18",5349,1449.999,1140.999,1445.064,1344.998,1481,847,1784.999,654,553,3779.968,3854.905,964,1367.962,2244,2781.001,1647,2472.954,2007.001,1431,2291,2627.353,1342.001,3845.999,1464.001,"ENSG00000182095"
"ENSG00000182103 - FAM181B","FAM181B",5,7,0,3,1,5,0,1,1,12,6,7,0,0,6,3,0,5,2,0,5,0,0,0,1,"ENSG00000182103"
"ENSG00000182107 - TMEM30B","TMEM30B",5299,1437,1211,3097.386,2701,2473,1460,1674,740,564,4022,5080,1557,1503.001,2927.999,4001,2834,3302.999,3190,1670,2244,5012,2517.999,6790.999,2307,"ENSG00000182107"
"ENSG00000182108 - DEXI","DEXI",250,181,52,122,195,299,134,117.999,178,116,154,404.001,289,82,280,571,97.999,259,339.146,141,110,290,172,859.999,138.999,"ENSG00000182108"
"ENSG00000182111 - ZNF716","ZNF716",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"ENSG00000182111"
"ENSG00000182117 - NOP10","NOP10",2187,1229,588,1396,2392,1868,924,840,918,825,1379,1711,2109,650,1454,3162,1301,1383,1740,954,996,2134,1616,4548,1048,"ENSG00000182117"
"ENSG00000182118 - FAM89A","FAM89A",31,16,1,5,3,11,7,10,20,8,8,12,27,3,20,29,15,15,4,5,3,23,2,32,6,"ENSG00000182118"
"ENSG00000182132 - KCNIP1","KCNIP1",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182132"
"ENSG00000182134 - TDRKH","TDRKH",108,49,17.001,36,44,122.001,26,37.999,48,26.999,24,134,32.001,22,107.001,171.001,30,99,52.999,23,40,63.001,43,308,25,"ENSG00000182134"
"ENSG00000182141 - ZNF708","ZNF708",121.127,59.022,22,43,79,76.029,22,53,28,12,44,100,42,9,67,60.143,86,108.001,46,54.026,37,138.444,42,200,51.03,"ENSG00000182141"
"ENSG00000182149 - IST1","IST1",7765.001,2828.45,2201.959,3517.105,4028.577,3748.285,1846.995,3099,1419,1218.001,5639.149,5816.016,1822.002,2877.509,2883.03,4327.787,4540.344,4341.036,3828.594,2245.999,4133.169,5520.895,3191.715,7760.001,3301.001,"ENSG00000182149"
"ENSG00000182150 - ERCC6L2","ERCC6L2",521.001,176.237,60,167,217.999,296,106,198,96,90.433,291.999,331,93.999,130.999,279,285,252.999,276.001,343,177.029,316.001,403.053,199,418,122,"ENSG00000182150"
"ENSG00000182154 - MRPL41","MRPL41",1973,2332,913,1474,4591,2989,2216,1431,1459,1545,1790,2087,2907,804,2586,4174,1776,2195,3318,803,1189,2590,2552,8566,1267,"ENSG00000182154"
"ENSG00000182156 - ENPP7","ENPP7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,"ENSG00000182156"
"ENSG00000182158 - CREB3L2","CREB3L2",429,294,216,374,376,544,347,178,283,243,478,736,400.999,188,1084.001,998,289,620,579,227,404,448,252,2389,346,"ENSG00000182158"
"ENSG00000182162 - P2RY8","P2RY8",122,67,1,87,6,147,1,14,66,58,40,95,3,0,28,33,3,169,9,40,49,30,4,4,4,"ENSG00000182162"
"ENSG00000182168 - UNC5C","UNC5C",392,235,28,143,443,214,145,168,73,152,305.999,251,83,58,269,296,263,115,178,205,116,444,180,516,144,"ENSG00000182168"
"ENSG00000182170 - MRGPRG","MRGPRG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182170"
"ENSG00000182173 - TSEN54","TSEN54",495,388.999,169,302,641,732.999,321,314.999,239,279.999,405.001,582,360,220,498,865,388,484.001,601.999,292,309,497.999,429,1659.999,255,"ENSG00000182173"
"ENSG00000182175 - RGMA","RGMA",366.071,186.056,4.053,80,19.005,68.113,6.012,17.037,19.044,196,14.005,25.017,7,7.058,88,8.065,10.034,20.01,50.027,17.178,86.023,18.357,23.077,12.044,20.311,"ENSG00000182175"
"ENSG00000182177 - ASB18","ASB18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182177"
"ENSG00000182179 - UBA7","UBA7",1531,796,333,450,730,513.999,537,680.001,370.999,358,1228,591,401,425,448,1371.999,801,728,1194,511,1200.999,875,568,1689,367,"ENSG00000182179"
"ENSG00000182180 - MRPS16","MRPS16",1605,1437,468.001,982,1732,2194,1003.999,917.001,965,1025,1264,2704,1806,484.001,2538,3609,1323,1826,2058,1070.999,858,1709,1662,7160,994,"ENSG00000182180"
"ENSG00000182183 - SHISAL2A","SHISAL2A",14,3,0,3,0,11,0,0,11,10,0,4,1,0,2,8,0,8,0,4,3,6,1,1,0,"ENSG00000182183"
"ENSG00000182185 - RAD51B","RAD51B",48,36.999,16,25.001,46,49,18,38,32.001,19,29,62,48,22,42,78,28.999,45.998,31,22,18,70.001,33,156,25,"ENSG00000182185"
"ENSG00000182187 - CRYGB","CRYGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182187"
"ENSG00000182195 - LDOC1","LDOC1",36,36,2,11,2,30,4,6,18,31,8,23,3,3,18,8,2,11,8,9,10,17,3,65,8,"ENSG00000182195"
"ENSG00000182196 - ARL6IP4","ARL6IP4",2553.999,2161.001,644,1621,2567.999,2814.998,1244.001,1070,1160.998,1205.001,1670.999,3237,2436,638.999,2421.001,3819.001,1891,1992.999,2604.001,1236,1206.998,2319.002,2021,7074,1186,"ENSG00000182196"
"ENSG00000182197 - EXT1","EXT1",3031.001,1306.999,789.001,1556.999,1990.999,1915.999,1368.001,1228,723.001,743,2383,2836,1547,1106.001,2431,3329.283,2047.001,2574,2527.999,1191,1528,2862.001,1676,5759,1462.261,"ENSG00000182197"
"ENSG00000182199 - SHMT2","SHMT2",405,589,94,329,421,1177.999,311.001,306,373.001,478,372.999,1767.999,824,86,2055.001,3035,326,963.001,930.999,323,221,402,556.002,4359,342,"ENSG00000182199"
"ENSG00000182208 - MOB2","MOB2",1278,838,352,598.999,1088.999,767,470,542,379,310.999,1000,1001.999,613,476,597.999,928,774.999,712,803.999,571,645.999,1020.999,576,1892,561.001,"ENSG00000182208"
"ENSG00000182218 - HHIPL1","HHIPL1",38,31,3,4,7,14,4,7,5,29,9,8,0,3,9,22,2,13,10,5,8,13,1,7,0,"ENSG00000182218"
"ENSG00000182220 - ATP6AP2","ATP6AP2",3308,1344.998,697.998,1636.002,2246,2019.999,896.001,1104,682,690.999,2107.998,2834.001,979,850.998,1788,2256,1848.001,1970,1682.001,972,1457.999,3054.002,1772.999,5392,1338,"ENSG00000182220"
"ENSG00000182223 - ZAR1","ZAR1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182223"
"ENSG00000182224 - CYB5D1","CYB5D1",90,73,42,34,94,164,39,73,65,102,72,378,153,27,376,501.999,48,238,297,105,30,117,117,806.999,65,"ENSG00000182224"
"ENSG00000289731 - FAM153B","FAM153B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9.145,0,4.149,0,0,0,"ENSG00000289731"
"ENSG00000182240 - BACE2","BACE2",563,705,206,566,999,854.999,960.999,310,481.001,555,758.01,1408,975,127,1330.999,2396,429,1278.999,1802.001,490.001,390,1166.001,661.001,4817,665,"ENSG00000182240"
"ENSG00000182247 - UBE2E2","UBE2E2",99,27.999,4,30,24,81,31,35.999,29,28,33.001,50,28,25,24,76.001,47,45,18,7,30,9,37.001,20,20,"ENSG00000182247"
"ENSG00000182253 - SYNM","SYNM",354,150,4,54.001,80,116,12,37,28,361,39,49,35,12,100,48,13,44,57,17,103.001,23,24,53,26,"ENSG00000182253"
"ENSG00000182255 - KCNA4","KCNA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182255"
"ENSG00000182256 - GABRG3","GABRG3",0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182256"
"ENSG00000182261 - NLRP10","NLRP10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182261"
"ENSG00000182263 - FIGN","FIGN",4,5,0,2,0,4,1,0,3,3,4,2,0,0,5,6,2,0,0,1,1,3,1,3,0,"ENSG00000182263"
"ENSG00000182264 - IZUMO1","IZUMO1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"ENSG00000182264"
"ENSG00000182271 - TMIGD1","TMIGD1",13603,3640,2496,6110,8197,3486,1896,4001,1098,918,10855,5716,1482,4347,1286,2181,7964,6306,2427,2713,6779,8381,6621,3761,4706,"ENSG00000182271"
"ENSG00000182272 - B4GALNT4","B4GALNT4",44,58,5,18,12,39,3,17,14,45,13,42,30,2,6,73,12.001,28,36,25,16,7,14,19,3,"ENSG00000182272"
"ENSG00000182287 - AP1S2","AP1S2",272,160,21.001,178,169.001,188,49.001,62,98,72.999,143.999,161.368,68,38.001,135.088,84.001,134.999,141.441,103.001,96.001,124.999,463.001,81.001,235.999,125,"ENSG00000182287"
"ENSG00000182307 - C8orf33","C8orf33",2377,1528,189,808,2420.001,756,414.161,1022,218,258.999,4688.001,1444,625.001,486,817.001,1057,1083.001,638,484.999,1666,1908,5548.001,686.999,2079.999,512,"ENSG00000182307"
"ENSG00000182308 - DCAF4L1","DCAF4L1",0,3,1,0,1,5,0,4,0,1,2,1,0,0,2,0,0,0,0,2,2,0,1,0,2,"ENSG00000182308"
"ENSG00000182310 - SPACA6","SPACA6",4,6,3,1,3,7,1,2.001,0,1,2,11,3,1,5,7.001,13,5,4,1,3.065,2,0,4.94,1,"ENSG00000182310"
"ENSG00000182315 - MBD3L3","MBD3L3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182315"
"ENSG00000182318 - ZSCAN22","ZSCAN22",94,42,26,44,59,65,42,24,33,23,55,88,55,30,71.999,92.126,25,77,79,36,38,94.255,23,151,32,"ENSG00000182318"
"ENSG00000182324 - KCNJ14","KCNJ14",23,19,4,15,12,14,1,2,5,8,4,7,8,0,14,7.009,12,5,9,4,4,17,1.003,25,6,"ENSG00000182324"
"ENSG00000182326 - C1S","C1S",791.999,737.001,15,277,45,911,91,210,767,411,346,386,68,12,385,235.001,43,490,179,209,471,220.001,25,34,35,"ENSG00000182326"
"ENSG00000182327 - GLTPD2","GLTPD2",21,11,38,11,35,15,13,6,6,3,3,4,1,11,5,11,9,17,6,0,15,7,4,15,6,"ENSG00000182327"
"ENSG00000182329 - KIAA2012","KIAA2012",1,2,1,0,0,0,0,0,0,0,2,0,1,0,2,4,2.005,0,1,0,2,0,0,5,0,"ENSG00000182329"
"ENSG00000182333 - LIPF","LIPF",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"ENSG00000182333"
"ENSG00000182334 - OR5P3","OR5P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182334"
"ENSG00000182346 - DAOA","DAOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182346"
"ENSG00000182348 - ZNF804B","ZNF804B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182348"
"ENSG00000182359 - KBTBD3","KBTBD3",127.001,54,21,36,59,68,26,33,28,33,49,78,37,26,45,75,56,60,44,24,43.001,73,36,129,41,"ENSG00000182359"
"ENSG00000182362 - YBEY","YBEY",375,123.001,46,166,104,252.001,165,103,58,109,254.999,560.001,363,92,172,477,162,352.999,233,233.001,325,299.999,165,349.001,254,"ENSG00000182362"
"ENSG00000182365 - OR5F2P","OR5F2P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182365"
"ENSG00000182372 - CLN8","CLN8",488.19,168.389,149.38,164.595,246.626,285.594,221.602,192.261,120.226,114.774,334.402,48.116,32.922,129.097,35.7,515.414,284.685,155.922,372.495,241.487,227.677,623.581,286.614,939.145,249.101,"ENSG00000182372"
"ENSG00000182378 - PLCXD1","PLCXD1",383,193,55,394.001,322.999,436,194.001,109,132,194,341.999,265,379.999,296,288,738,335,255,236.999,226,138,464,227,1019.999,213,"ENSG00000182378"
"ENSG00000182379 - NXPH4","NXPH4",0,0,0,3,0,2,0,0,1,1,0,3,0,1,0,5,0,2,1,2,0,0,0,0,0,"ENSG00000182379"
"ENSG00000182389 - CACNB4","CACNB4",4,1,2,11,1,4,0,5,1,1,2,0,1,1,0,0,1,2,0,0,2,0,1,4,1,"ENSG00000182389"
"ENSG00000182393 - IFNL1","IFNL1",2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"ENSG00000182393"
"ENSG00000182397 - DNM1P46","DNM1P46",2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,"ENSG00000182397"
"ENSG00000182400 - TRAPPC6B","TRAPPC6B",289,228.999,91,346,400,280,150,172,143,138,289,360,248,150.999,332,482,271,346,387,165,211,458,271,1028,239,"ENSG00000182400"
"ENSG00000182405 - PGBD4","PGBD4",24,29,8,18,20,22,9,22,17.056,21.048,25,35,15,10,32,52,19,34,18,31,15.182,32,16,43.014,15,"ENSG00000182405"
"ENSG00000182415 - CDY2A","CDY2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182415"
"ENSG00000182446 - NPLOC4","NPLOC4",2071.999,1335,592.001,1348.002,2080.001,1596,941,1063,802,814,1865.003,2200.999,900,848.001,1707.001,2452.999,1318.999,1784,2303.999,980.004,1174.001,2118,1396,4813.999,1017,"ENSG00000182446"
"ENSG00000182447 - OTOL1","OTOL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182447"
"ENSG00000182450 - KCNK4","KCNK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182450"
"ENSG00000182459 - TEX19","TEX19",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182459"
"ENSG00000182463 - TSHZ2","TSHZ2",20,20,1,8,3,15,1,6,22,0,13,14,0,0,16,19,0,20,9,8,15,6,1,4,2,"ENSG00000182463"
"ENSG00000182472 - CAPN12","CAPN12",34,61.013,8.002,33.011,28.017,83.091,15.005,24.008,34.044,31.011,37,45,73.042,5.002,64,191.025,31,39.008,33,29,35.01,70.016,45.998,174.062,14.004,"ENSG00000182472"
"ENSG00000182473 - EXOC7","EXOC7",2416.994,1411.99,470,1367,1665.002,1500,818,1016.999,796.279,666,1640,1975.001,1072.999,781.001,1380.999,2040.987,1449.001,1811.988,1879.001,960.001,1183.001,2027.999,1281.986,4082.001,974.999,"ENSG00000182473"
"ENSG00000182477 - OR2B8P","OR2B8P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"ENSG00000182477"
"ENSG00000182481 - KPNA2","KPNA2",365.932,582.164,69.878,380.815,406.89,1111.283,362.923,237.839,471.73,534.742,366.686,1603.695,1231.69,107.586,2591.777,3609.19,305.389,1068.834,1220.221,298.953,152.001,513.186,610.777,5734.871,372.959,"ENSG00000182481"
"ENSG00000182484 - WASH6P","WASH6P",264.895,548.407,100.988,337.325,331.348,276.767,155.539,178.781,240.358,278.788,382.171,413.896,246.913,64.109,214.994,382.289,320.456,148.731,257.719,423.027,227.172,448.17,165.119,558.522,149.902,"ENSG00000182484"
"ENSG00000182487 - NCF1B","NCF1B",52.475,34.484,4.615,30.92,5.04,91.397,0,13.448,22.769,14.621,23.855,41.068,2.192,2.941,2.227,2.193,4.283,52.178,7.974,23.351,27.179,32.521,0,5.35,13.96,"ENSG00000182487"
"ENSG00000182489 - XKRX","XKRX",24,12,2,13,5,33,12,12,7,2,18,33,7,13,18,31,7,11,8,5,17,8,17,46,12,"ENSG00000182489"
"ENSG00000182492 - BGN","BGN",72,123,9,34,8,92,18,33,245,81,63,64,7,0,84,82,9,89,37,46,52,41,2,11,11,"ENSG00000182492"
"ENSG00000182504 - CEP97","CEP97",73,31,6,15,23,50,13,29,30,18,32,83,16,13,68,100,35,60,25,21,22,29,25,119,21,"ENSG00000182504"
"ENSG00000182508 - LHFPL1","LHFPL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182508"
"ENSG00000182511 - FES","FES",116,79,6,23,33,75,11,28.001,46,23,56,106,41,8,24.999,40,29,35,42,42,30,50,13,43,15,"ENSG00000182511"
"ENSG00000182512 - GLRX5","GLRX5",1442.999,991,457,753,1473,1253.001,718,614,523.999,618.001,945,2139,1056,479,1365,2340.999,909,1138,1311,756,664,1304,1304,4041,718,"ENSG00000182512"
"ENSG00000182518 - FAM104B","FAM104B",339,197.999,65.999,142,264.001,269.999,96,127,118.999,119,177.001,417,271,65,263.001,373,217.999,264,246,180,131,296,194.001,835,119.999,"ENSG00000182518"
"ENSG00000182521 - TBPL2","TBPL2",12.138,7.984,0,2.028,13,9,1,3,6.154,5,18,8,3,7.001,5,16.216,1,7.153,9,3,11,6,6,22,4,"ENSG00000182521"
"ENSG00000182533 - CAV3","CAV3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182533"
"ENSG00000182534 - MXRA7","MXRA7",752,316,54,127.999,120.999,223,51,80,148,341,255.001,688.999,51,23,157,145,34,111,119,323,204,314,50,677,51,"ENSG00000182534"
"ENSG00000182541 - LIMK2","LIMK2",2844.06,1385.084,510.001,825.999,1399,1539.923,752.01,941.03,580.026,603.095,1598.001,3031.029,959.011,680.001,2145,2243.787,1397,1766,1793.028,945.025,994,2051,1067.999,3830,904,"ENSG00000182541"
"ENSG00000182544 - MFSD5","MFSD5",1214,565,593,738,1137,1084,585,640,519,402,1153,1391,863,618,805,1483,1065,932.999,1161.999,587,841.999,1277,660,2946,592.001,"ENSG00000182544"
"ENSG00000182545 - RNASE10","RNASE10",65.423,30.679,4,29.462,36,10.052,15,25,5.128,4,76.912,31.982,15.001,5,17.312,37.107,19.817,19.174,18.293,69,20.668,49.62,8,47.756,13,"ENSG00000182545"
"ENSG00000182551 - ADI1","ADI1",5023,2246,946,1876,3024,3134,1433.333,1554,773.314,924.92,3063.555,4032.507,1700.442,1351.617,2428,3748,2996,2431,2311,1472,1733.999,3477.001,2459,8575.729,1936,"ENSG00000182551"
"ENSG00000182552 - RWDD4","RWDD4",591,249,159,331.982,406.999,495,191.005,277,169.078,182.999,355,790.001,421.001,166.618,543.98,680.624,476,497.959,454,256,243,610.546,481,1574.325,271,"ENSG00000182552"
"ENSG00000182557 - SPNS3","SPNS3",8,20,5,9,9,13,4,4,17,16,8,17,5,2,9,17,11,13,8,11,3,7,7,22,6,"ENSG00000182557"
"ENSG00000182566 - CLEC4G","CLEC4G",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,"ENSG00000182566"
"ENSG00000182568 - SATB1","SATB1",426.001,351,51,106.999,231.001,342.001,134.999,128,159,83.999,247.001,506.001,110.999,91.001,285,337,212,368.001,175.001,136.999,205,311,167.001,630.768,177,"ENSG00000182568"
"ENSG00000182574 - CSGALNACT2P1","CSGALNACT2P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182574"
"ENSG00000182575 - NXPH3","NXPH3",49,22,0,8,4,3,1,1,1,60,2,1,0,2,7,1,0,1,10,3,10,0,0,7,1,"ENSG00000182575"
"ENSG00000182578 - CSF1R","CSF1R",165,104,20,45,47,188,17,79,221,91,80,92,32,15,52.999,66,27.999,101,32,48,68,80,16,30,4,"ENSG00000182578"
"ENSG00000182580 - EPHB3","EPHB3",583,426,61,88,451,868,159,114,268,250,336,982,235,55,1203,1649,354.999,667,335,210,231,259,448,2148,216,"ENSG00000182580"
"ENSG00000182583 - VCX","VCX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"ENSG00000182583"
"ENSG00000182585 - EPGN","EPGN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"ENSG00000182585"
"ENSG00000182591 - KRTAP11-1","KRTAP11-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182591"
"ENSG00000182600 - SNORC","SNORC",359.632,643.309,88.284,795,432.877,917.569,309.037,294,260,315,388,766,1950.349,92,605,1234.828,262,472,568.68,320,170.056,341.372,396,2176.999,430,"ENSG00000182600"
"ENSG00000182601 - HS3ST4","HS3ST4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182601"
"ENSG00000182606 - TRAK1","TRAK1",5163.999,2416,1155,2194,3258,2138,1343,1710,931.999,872,3456,3661.999,1071,1583,2322,2704,2621,2643,2130,1657,2755.999,3589,2013,4589,1981.001,"ENSG00000182606"
"ENSG00000182612 - TSPAN10","TSPAN10",3,1,5,5,1,13,1,3,8,1,0,8,1,0,2,4,2,3,1,4.998,4,13,1,14.001,0,"ENSG00000182612"
"ENSG00000182613 - OR2V2","OR2V2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182613"
"ENSG00000182621 - PLCB1","PLCB1",51,56,4,10,15,21,31,7,20,10,12,25,10,4,26,24,8,37,19,9,10,10,9,42.001,46,"ENSG00000182621"
"ENSG00000182628 - SKA2","SKA2",288.999,273.999,72.001,102,173.001,377,102.001,120,170,145,185,550.999,182.999,53,657.999,762,191,348.001,343.001,123,107.999,280.001,310,1670.235,184,"ENSG00000182628"
"ENSG00000182631 - RXFP3","RXFP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182631"
"ENSG00000182632 - CCNYL2","CCNYL2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"ENSG00000182632"
"ENSG00000182634 - OR10G7","OR10G7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182634"
"ENSG00000182636 - NDN","NDN",1321.702,242,233,258,301.306,291,136,465.478,137,118.888,585.706,442.883,149,311.443,183,229,615,312,224.348,81,461.487,621,327.189,756.914,310.062,"ENSG00000182636"
"ENSG00000182645 - CCDC172","CCDC172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182645"
"ENSG00000182667 - NTM","NTM",30,41.999,1,7,9,2,0,6,8,27,9,4,2,0,3,3,0,2,10,2,19,1,0,0,1,"ENSG00000182667"
"ENSG00000182670 - TTC3","TTC3",1222.607,1314.843,276.997,799.902,1029.86,1646.632,667.999,759.988,914.936,716.903,761.963,2324.571,1157.049,206,1950.924,2583.614,590.997,1660.802,1335.886,603.898,518.919,1500.042,950.982,4518.96,757.001,"ENSG00000182670"
"ENSG00000182674 - KCNB2","KCNB2",1,1,1,0,2,1,0,0,0,1,1,0,0,1,3,2,0,6,1,2,0,2,0,4,1,"ENSG00000182674"
"ENSG00000182685 - BRICD5","BRICD5",6,40,3,17,12,8,5,8,10,28,10,16,11,6,3,16,18,6,14,16,1,35,2,24,3,"ENSG00000182685"
"ENSG00000182687 - GALR2","GALR2",2,5,0,3,0,2,0,3,2,1,6,3,10,1,7,5,0,3,0,5,7,1,3,11,3,"ENSG00000182687"
"ENSG00000182698 - RESP18","RESP18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENSG00000182698"
"ENSG00000182704 - TSKU","TSKU",2873,995.306,980,2155,1946,1204.999,986,1059,740.001,422,1866,2864,569,1030,1304,1904.001,2049,1908.999,1945.001,1093.004,2501,1761,1217,3396,1077.001,"ENSG00000182704"
